tau_3R_mean,tau_4X_mean,tau_5Y_mean,phi_X_mean,phi_Y_mean,lnL_mean,tau_3R_median,tau_4X_median,tau_5Y_median,phi_X_median,phi_Y_median,lnL_median,tau_3R_sd,tau_4X_sd,tau_5Y_sd,phi_X_sd,phi_Y_sd,lnL_sd,tau_3R_min,tau_4X_min,tau_5Y_min,phi_X_min,phi_Y_min,lnL_min,tau_3R_max,tau_4X_max,tau_5Y_max,phi_X_max,phi_Y_max,lnL_max,tau_3R_percent25,tau_4X_percent25,tau_5Y_percent25,phi_X_percent25,phi_Y_percent25,lnL_percent25,tau_3R_percent975,tau_4X_percent975,tau_5Y_percent975,phi_X_percent975,phi_Y_percent975,lnL_percent975,tau_3R_hpd25,tau_4X_hpd25,tau_5Y_hpd25,phi_X_hpd25,phi_Y_hpd25,lnL_hpd25,tau_3R_hpd975,tau_4X_hpd975,tau_5Y_hpd975,phi_X_hpd975,phi_Y_hpd975,lnL_hpd975,tau_3R_ess,tau_4X_ess,tau_5Y_ess,phi_X_ess,phi_Y_ess,lnL_ess,tau_3R_eff,tau_4X_eff,tau_5Y_eff,phi_X_eff,phi_Y_eff,lnL_eff,genome,model,dfe,divtime,percent,rep
0.008344,0.001743,0.001743,0.071905,0.002041,-472159.612708,0.008337,0.001743,0.001743,0.071664,0.001814,-472159.147500,0.000350,0.000000,0.000000,0.006379,0.001251,74.911995,0.007442,0.001743,0.001743,0.048928,0.000002,-472468.990000,0.009276,0.001743,0.001743,0.101267,0.010890,-471814.976000,0.007681,0.001743,0.001743,0.059940,0.000305,-472307.802000,0.009070,0.001743,0.001743,0.085101,0.005066,-472014.232000,0.007677,0.001743,0.001743,0.059176,0.000068,-472303.729000,0.008932,0.001743,0.001743,0.084269,0.004448,-472010.533000,42.745688,1.000000,1.000000,900.666961,754.957186,14864.829934,0.000427,0.000010,0.000010,0.009007,0.007550,0.148648,DROSOPHILA-testing-redo,p2_p1,bgs,20000,NA,13
0.014384,0.002576,0.002576,0.003574,0.002077,-472019.969281,0.014483,0.002576,0.002576,0.002921,0.001699,-472019.831000,0.001226,0.000000,0.000000,0.002737,0.001634,72.748266,0.007333,0.002576,0.002576,0.000002,0.000000,-472342.018000,0.017615,0.002576,0.002576,0.022661,0.014834,-471709.060000,0.010513,0.002576,0.002576,0.000321,0.000103,-472163.249000,0.016049,0.002576,0.002576,0.010947,0.006202,-471878.255000,0.012860,0.002576,0.002576,0.000002,0.000000,-472164.737000,0.016191,0.002576,0.002576,0.008965,0.005253,-471880.074000,43.429524,1.000000,1.000000,132.149666,208.070506,2058.285172,0.000434,0.000010,0.000010,0.001321,0.002081,0.020583,DROSOPHILA-testing-redo,nomig,linkedp1,20000,5percent,5
0.006476,0.001767,0.001767,0.020687,0.129720,-468495.589072,0.006422,0.001812,0.001812,0.020393,0.129483,-468495.103000,0.000258,0.000089,0.000089,0.005011,0.010469,81.071578,0.005839,0.001595,0.001595,0.004339,0.094123,-468858.305000,0.007284,0.002009,0.002009,0.043976,0.164957,-468184.074000,0.006093,0.001595,0.001595,0.011753,0.109497,-468655.650000,0.006964,0.002009,0.002009,0.031251,0.150893,-468338.216000,0.006065,0.001595,0.001595,0.011230,0.109787,-468654.949000,0.006883,0.001812,0.001812,0.030497,0.151116,-468337.690000,34.039643,27.365344,27.365344,283.659450,185.458037,4088.924770,0.000340,0.000274,0.000274,0.002837,0.001855,0.040889,DROSOPHILA-testing-redo,p1_p2,adaptiveint,5000,5percent,3
0.006998,0.001991,0.001991,0.015862,0.148422,-469148.530894,0.007016,0.002011,0.002011,0.015547,0.147959,-469147.999500,0.000258,0.000070,0.000070,0.005443,0.011358,79.844417,0.006380,0.001894,0.001894,0.000490,0.108147,-469506.476000,0.007817,0.002131,0.002131,0.039733,0.187284,-468797.612000,0.006488,0.001894,0.001894,0.006203,0.127417,-469305.976000,0.007480,0.002131,0.002131,0.027261,0.171641,-468993.359000,0.006495,0.001894,0.001894,0.005580,0.126560,-469304.521000,0.007485,0.002131,0.002131,0.026427,0.170734,-468992.171000,50.027327,26.289472,26.289472,140.500175,114.447109,6127.793628,0.000500,0.000263,0.000263,0.001405,0.001144,0.061278,DROSOPHILA-testing-redo,p1_p2,linkedancestor,5000,5percent,8
0.009438,0.001752,0.001752,0.134047,0.020027,-485346.102134,0.009414,0.001722,0.001722,0.133880,0.019692,-485345.628500,0.000329,0.000080,0.000080,0.008702,0.004364,82.389445,0.008479,0.001722,0.001722,0.105737,0.006546,-485707.661000,0.010732,0.002220,0.002220,0.165178,0.042910,-484992.525000,0.008846,0.001722,0.001722,0.117441,0.012417,-485509.086000,0.010127,0.001933,0.001933,0.151559,0.029538,-485185.373000,0.008879,0.001722,0.001722,0.117700,0.011834,-485511.435000,0.010127,0.001933,0.001933,0.151778,0.028718,-485188.311000,93.320447,29.991625,29.991625,298.088225,112.739785,5098.189558,0.000933,0.000300,0.000300,0.002981,0.001127,0.050982,DROSOPHILA-testing-redo,p2_p1,neutral,5000,NA,5
0.004367,0.002380,0.002380,0.284546,0.251888,-471828.926309,0.004367,0.002380,0.002380,0.287501,0.255371,-471828.515000,0.000000,0.000000,0.000000,0.057780,0.063519,78.390736,0.004367,0.002380,0.002380,0.133090,0.095467,-472190.420000,0.004367,0.002380,0.002380,0.409851,0.406193,-471490.861000,0.004367,0.002380,0.002380,0.182113,0.125654,-471983.856000,0.004367,0.002380,0.002380,0.385183,0.365223,-471676.620000,0.004367,0.002380,0.002380,0.181679,0.140040,-471981.757000,0.004367,0.002380,0.002380,0.384680,0.376684,-471674.712000,1.000000,1.000000,1.000000,30.601684,30.551077,11125.187693,0.000010,0.000010,0.000010,0.000306,0.000306,0.111252,DROSOPHILA-testing-redo,nomig,neutral,1250,NA,12
0.009592,0.002020,0.002020,0.064392,0.007795,-475777.124831,0.009533,0.001969,0.001969,0.064122,0.007517,-475777.129000,0.000573,0.000125,0.000125,0.006986,0.002904,75.050367,0.008209,0.001969,0.001969,0.038680,0.000340,-476096.690000,0.011299,0.002441,0.002441,0.098933,0.024013,-475452.577000,0.008621,0.001969,0.001969,0.051361,0.002968,-475924.613000,0.010749,0.002441,0.002441,0.079150,0.014273,-475630.858000,0.008621,0.001969,0.001969,0.050606,0.002469,-475924.070000,0.010697,0.002441,0.002441,0.078161,0.013466,-475630.481000,37.454711,27.296382,27.296382,132.797089,116.225186,8674.594811,0.000375,0.000273,0.000273,0.001328,0.001162,0.086746,DROSOPHILA-testing-redo,p2_p1,linkedp1,20000,5percent,8
0.006919,0.001614,0.001614,0.124596,0.013855,-467964.876616,0.006891,0.001597,0.001597,0.124287,0.013441,-467964.518500,0.000263,0.000068,0.000068,0.010328,0.004373,79.794517,0.006328,0.001597,0.001597,0.089665,0.000731,-468317.720000,0.007913,0.001937,0.001937,0.169123,0.034971,-467631.886000,0.006383,0.001597,0.001597,0.105298,0.006445,-468123.235000,0.007481,0.001937,0.001937,0.145844,0.023503,-467809.571000,0.006362,0.001597,0.001597,0.104545,0.005978,-468121.731000,0.007383,0.001819,0.001819,0.144942,0.022857,-467808.425000,48.828920,30.234629,30.234629,92.565240,80.570256,5196.628377,0.000488,0.000302,0.000302,0.000926,0.000806,0.051966,DROSOPHILA-testing-redo,p2_p1,linkedp1,5000,10percent,4
0.013736,0.002033,0.002033,0.000655,0.000632,-474009.696603,0.013718,0.002033,0.002033,0.000450,0.000436,-474009.315500,0.000694,0.000000,0.000000,0.000658,0.000636,73.204754,0.011861,0.002033,0.002033,0.000000,0.000000,-474344.335000,0.016034,0.002033,0.002033,0.007767,0.010502,-473700.585000,0.012393,0.002033,0.002033,0.000016,0.000016,-474154.543000,0.015148,0.002033,0.002033,0.002430,0.002336,-473868.059000,0.012361,0.002033,0.002033,0.000000,0.000000,-474153.829000,0.015074,0.002033,0.002033,0.001967,0.001894,-473867.505000,77.552343,1.000000,1.000000,19856.897468,18757.630900,16585.862677,0.000776,0.000010,0.000010,0.198569,0.187576,0.165859,DROSOPHILA-testing-redo,nomig,bgs,20000,NA,4
0.002725,0.000672,0.000672,0.080575,0.193042,-452009.042928,0.002644,0.000603,0.000603,0.074399,0.183312,-452004.600000,0.000262,0.000175,0.000175,0.023668,0.036810,94.073963,0.002482,0.000472,0.000472,0.029283,0.120081,-452404.829000,0.003545,0.001133,0.001133,0.178666,0.309156,-451643.143000,0.002482,0.000514,0.000514,0.050345,0.144786,-452205.172000,0.003545,0.001133,0.001133,0.143618,0.282442,-451835.424000,0.002482,0.000513,0.000513,0.047204,0.141957,-452198.573000,0.003234,0.001034,0.001034,0.139194,0.278086,-451829.649000,26.690054,26.691630,26.691630,32.580331,31.411637,91.989796,0.000267,0.000267,0.000267,0.000326,0.000314,0.000920,DROSOPHILA-testing-redo,p1_p2,adaptiveint,1250,15percent,7
