tau_3R_mean,tau_4X_mean,tau_5Y_mean,phi_X_mean,phi_Y_mean,lnL_mean,tau_3R_median,tau_4X_median,tau_5Y_median,phi_X_median,phi_Y_median,lnL_median,tau_3R_sd,tau_4X_sd,tau_5Y_sd,phi_X_sd,phi_Y_sd,lnL_sd,tau_3R_min,tau_4X_min,tau_5Y_min,phi_X_min,phi_Y_min,lnL_min,tau_3R_max,tau_4X_max,tau_5Y_max,phi_X_max,phi_Y_max,lnL_max,tau_3R_percent25,tau_4X_percent25,tau_5Y_percent25,phi_X_percent25,phi_Y_percent25,lnL_percent25,tau_3R_percent975,tau_4X_percent975,tau_5Y_percent975,phi_X_percent975,phi_Y_percent975,lnL_percent975,tau_3R_hpd25,tau_4X_hpd25,tau_5Y_hpd25,phi_X_hpd25,phi_Y_hpd25,lnL_hpd25,tau_3R_hpd975,tau_4X_hpd975,tau_5Y_hpd975,phi_X_hpd975,phi_Y_hpd975,lnL_hpd975,tau_3R_ess,tau_4X_ess,tau_5Y_ess,phi_X_ess,phi_Y_ess,lnL_ess,tau_3R_eff,tau_4X_eff,tau_5Y_eff,phi_X_eff,phi_Y_eff,lnL_eff,genome,model,dfe,divtime,percent,rep
0.021517,0.003613,0.003613,0.009272,0.072795,-575940.270872,0.021499,0.003661,0.003661,0.009034,0.072615,-575940.102500,0.000932,0.000117,0.000117,0.002700,0.006657,82.949785,0.017905,0.003433,0.003433,0.001397,0.042818,-576330.338000,0.026112,0.003937,0.003937,0.026478,0.104101,-575594.711000,0.019734,0.003433,0.003433,0.004689,0.060275,-576103.554000,0.023364,0.003937,0.003937,0.015222,0.086291,-575778.376000,0.019753,0.003433,0.003433,0.004301,0.059731,-576102.084000,0.023375,0.003661,0.003661,0.014656,0.085710,-575776.949000,288.149141,127.259428,127.259428,720.980966,1522.984985,25945.027270,0.000576,0.000255,0.000255,0.001442,0.003046,0.051890,drosophila,p1_p2,balancing,20000,5percent,8
0.016483,0.002408,0.002408,0.007189,0.056754,-560315.602248,0.016401,0.002351,0.002351,0.006952,0.056531,-560315.464000,0.000853,0.000092,0.000092,0.002335,0.006056,83.601534,0.014123,0.002351,0.002351,0.000638,0.035529,-560715.136000,0.019826,0.002556,0.002556,0.022511,0.091144,-559926.773000,0.014955,0.002351,0.002351,0.003306,0.045600,-560480.365000,0.018303,0.002556,0.002556,0.012386,0.069203,-560152.612000,0.014850,0.002351,0.002351,0.003000,0.045205,-560480.174000,0.018122,0.002556,0.002556,0.011907,0.068725,-560152.486000,209.057631,125.783400,125.783400,450.789257,459.989937,11032.237117,0.000418,0.000252,0.000252,0.000902,0.000920,0.022064,drosophila,p1_p2,adaptiveint,20000,5percent,6
0.038654,0.005153,0.005153,0.000731,0.000703,-579865.549116,0.038655,0.005115,0.005115,0.000506,0.000488,-579865.166000,0.001544,0.000253,0.000253,0.000733,0.000704,80.826988,0.032859,0.004693,0.004693,0.000000,0.000000,-580234.211000,0.046055,0.005795,0.005795,0.008566,0.010692,-579511.552000,0.035631,0.004693,0.004693,0.000019,0.000017,-580024.923000,0.041676,0.005570,0.005570,0.002701,0.002598,-579707.929000,0.035564,0.004693,0.004693,0.000000,0.000000,-580024.872000,0.041600,0.005570,0.005570,0.002189,0.002108,-579707.893000,341.420753,130.648512,130.648512,116605.299532,117932.266665,33517.835384,0.000683,0.000261,0.000261,0.233211,0.235865,0.067036,drosophila,nomig,linkedp1,20000,5percent,5
0.005777,0.003145,0.003145,0.262412,0.279935,-490174.947229,0.005664,0.003056,0.003056,0.260052,0.278454,-490174.602500,0.000344,0.000147,0.000147,0.052367,0.049620,82.159237,0.005443,0.003056,0.003056,0.110969,0.086091,-490563.990000,0.006821,0.003464,0.003464,0.432521,0.471324,-489803.372000,0.005443,0.003056,0.003056,0.171015,0.186334,-490337.078000,0.006548,0.003464,0.003464,0.372717,0.381113,-490014.989000,0.005443,0.003056,0.003056,0.165162,0.186746,-490334.946000,0.006512,0.003464,0.003464,0.364356,0.381485,-490012.890000,127.090654,125.907717,125.907717,163.824453,166.930349,6079.547714,0.000254,0.000252,0.000252,0.000328,0.000334,0.012159,drosophila,nomig,linkedancestor,1250,5percent,13
0.010341,0.002283,0.002283,0.026806,0.118793,-529904.058888,0.010316,0.002184,0.002184,0.026547,0.118321,-529903.741000,0.000394,0.000126,0.000126,0.005599,0.009790,85.556014,0.009054,0.002184,0.002184,0.007113,0.082204,-530297.447000,0.011924,0.002855,0.002855,0.055757,0.170590,-529519.739000,0.009644,0.002184,0.002184,0.016583,0.100881,-530072.984000,0.011186,0.002615,0.002615,0.038651,0.139574,-529737.881000,0.009592,0.002184,0.002184,0.015990,0.099682,-530069.630000,0.011090,0.002386,0.002386,0.037936,0.138121,-529734.719000,218.560612,128.705919,128.705919,472.651371,472.287890,6291.559886,0.000437,0.000257,0.000257,0.000945,0.000945,0.012583,drosophila,p1_p2,balancing,5000,15percent,19
0.016864,0.003220,0.003220,0.007005,0.068536,-560322.537019,0.016824,0.003279,0.003279,0.006545,0.068266,-560322.152000,0.000857,0.000218,0.000218,0.002929,0.006735,83.151764,0.014059,0.002868,0.002868,0.000269,0.042129,-560714.014000,0.020712,0.003714,0.003714,0.023784,0.104653,-559959.067000,0.015251,0.002868,0.002868,0.002601,0.056150,-560485.936000,0.018702,0.003714,0.003714,0.013844,0.082379,-560160.447000,0.015212,0.002868,0.002868,0.002043,0.055766,-560484.147000,0.018614,0.003714,0.003714,0.012861,0.081908,-560158.827000,210.720271,126.229848,126.229848,290.107600,714.531415,7877.341801,0.000421,0.000252,0.000252,0.000580,0.001429,0.015755,drosophila,p1_p2,linkedp1,20000,10percent,7
0.039101,0.005280,0.005280,0.000732,0.000726,-577644.762099,0.039082,0.005246,0.005246,0.000507,0.000506,-577644.487000,0.001478,0.000201,0.000201,0.000731,0.000727,80.678474,0.033458,0.004912,0.004912,0.000000,0.000000,-578051.691000,0.045162,0.005774,0.005774,0.008993,0.010391,-577285.536000,0.036281,0.004912,0.004912,0.000019,0.000019,-577803.450000,0.042043,0.005627,0.005627,0.002698,0.002674,-577487.003000,0.036203,0.004912,0.004912,0.000000,0.000000,-577801.047000,0.041948,0.005627,0.005627,0.002195,0.002173,-577484.704000,382.714576,127.482708,127.482708,106374.585020,108483.741198,69924.860743,0.000828,0.000276,0.000276,0.230236,0.234801,0.151345,drosophila,nomig,linkedancestor,20000,10percent,7
0.021300,0.003117,0.003117,0.002799,0.067023,-579959.281357,0.021251,0.003106,0.003106,0.002521,0.066867,-579958.914000,0.000899,0.000066,0.000066,0.001627,0.005928,83.637268,0.018122,0.002884,0.002884,0.000002,0.043546,-580344.228000,0.025162,0.003548,0.003548,0.016028,0.097943,-579508.320000,0.019616,0.003106,0.003106,0.000480,0.055866,-580124.331000,0.023135,0.003334,0.003334,0.006698,0.079090,-579796.647000,0.019634,0.003106,0.003106,0.000184,0.055540,-580123.586000,0.023148,0.003106,0.003106,0.005957,0.078729,-579795.958000,298.496927,136.953683,136.953683,408.231413,1911.158750,11641.812679,0.000597,0.000274,0.000274,0.000816,0.003822,0.023284,drosophila,p1_p2,balancing,20000,10percent,8
0.004095,0.001143,0.001143,0.067127,0.272977,-484008.050958,0.004047,0.001093,0.001093,0.066030,0.271785,-484006.774000,0.000094,0.000074,0.000074,0.015792,0.028113,87.144562,0.003919,0.001093,0.001093,0.008631,0.184942,-484443.634000,0.004568,0.001382,0.001382,0.134064,0.410291,-483618.001000,0.003919,0.001093,0.001093,0.039240,0.222603,-484183.335000,0.004338,0.001382,0.001382,0.101722,0.332591,-483840.521000,0.004047,0.001093,0.001093,0.037365,0.220136,-484178.560000,0.004370,0.001382,0.001382,0.099211,0.328984,-483836.257000,129.375768,127.348902,127.348902,370.129204,227.204560,1264.558364,0.000259,0.000255,0.000255,0.000740,0.000454,0.002529,drosophila,p1_p2,adaptiveint,1250,5percent,1
0.033549,0.005218,0.005218,0.000759,0.000763,-578174.664420,0.038159,0.005221,0.005221,0.000525,0.000526,-578174.293000,0.011349,0.000404,0.000404,0.000761,0.000770,80.909168,0.007531,0.004385,0.004385,0.000000,0.000000,-578543.275000,0.045345,0.006255,0.006255,0.009971,0.010935,-577775.416000,0.007531,0.004385,0.004385,0.000019,0.000020,-578334.178000,0.041536,0.005925,0.005925,0.002815,0.002826,-578017.418000,0.007531,0.004385,0.004385,0.000000,0.000000,-578333.172000,0.041003,0.005869,0.005869,0.002282,0.002296,-578016.466000,126.840622,127.860455,127.860455,13153.537055,13523.799577,37612.481630,0.000254,0.000256,0.000256,0.026307,0.027048,0.075225,drosophila,nomig,linkedancestor,20000,5percent,19
