AIC_SI,AIC_SI2N,AIC_IM,AIC_IM2N,AIC_IM2m,wAIC_SI,wAIC_SI2N,wAIC_IM,wAIC_IM2N,wAIC_IM2m,best_model
624.9928272295106,628.9907281340259,576.1206718522419,585.0898471953872,584.4706384402392,2.3775022325397647e-11,3.220978177324145e-12,0.9740351576560774,0.010988614898449642,0.014976227418476819,IM
753.4587655543642,737.1374478663699,695.2957874227806,699.6506826447621,722.632408954102,2.1059363615920517e-13,7.371813644056416e-10,0.8982050036933247,0.10179395492206515,1.0406472181779885e-06,IM
756.1243060428777,760.124088651651,686.6358839676816,698.0395841385573,697.047295609501,8.071700705725909e-16,1.0925046452194724e-16,0.9912522402362374,0.0033105652576734565,0.005437194506088272,IM
711.3356262463952,637.8294248096108,649.1963123879652,655.2574211563165,648.5599663320099,1.0833436865871026e-16,0.9918250927503857,0.0033740134982070532,0.00016292726587205603,0.004637966485535241,SI2N
777.5637071131262,739.2734340758589,710.1676469469901,714.2706704814043,704.0799732361094,1.0482412839774827e-16,2.1631588131010105e-08,0.04521991858136848,0.005812587933485444,0.9489674718535579,IM2m
673.4768095628501,622.7022984915307,623.7097976845965,629.4659608611009,622.1789795216463,3.209979635021102e-12,0.34044524043195074,0.2057176700624754,0.011570087534487515,0.4422670019678765,IM2m
728.768109876876,732.428477568561,663.9902416584821,670.3793857149999,675.7300402529377,8.223266126849333e-15,1.3188809651004556e-15,0.9580313122436919,0.0392640143574184,0.002704673398879979,IM
744.6658807616082,748.4522930678891,688.7018185761495,701.3013437964694,683.3193011624052,4.4691069530370334e-14,6.729948839204098e-15,0.0634837312107296,0.0001166031560051757,0.9363996656332138,IM2m
676.1009276108528,680.1010209819257,621.3355297252197,630.7007759024261,644.9744954840776,1.2701090172600904e-12,1.718825389764145e-13,0.9908229327313125,0.009169775045669366,7.292221576296183e-06,IM
721.6284421281011,725.6245853440867,666.8423304426602,670.5741616622291,681.3074416810455,1.0979578143989585e-12,1.4887925271404488e-13,0.8654433575662464,0.13393121107260908,0.0006254313598978436,IM
638.4275246897332,639.1864369058576,594.5559816544912,601.2103089174741,605.0962055372788,2.8572548048813017e-10,1.9550293329228226e-10,0.9605799072165039,0.034479796389832715,0.0049402959124348915,IM
714.7544407301043,716.9672655916469,663.262646839746,679.9756141892947,668.9665608917178,6.226260312989397e-12,2.0592945053337547e-12,0.9452098723786697,0.00022200026914070118,0.05456812734390401,IM
652.4759928828032,656.4703142015951,609.1027251647065,611.9167954147085,650.6918470889976,3.065428609622553e-10,4.160402536680237e-11,0.8032978829290162,0.19670211597481624,7.480205736752883e-10,IM
671.8212318052624,675.8003389461596,631.4623806255942,640.6080146395032,628.4564104276037,3.128935887303118e-10,4.27902207863394e-11,0.18163931109289314,0.001876120172863753,0.8164845683785593,IM2m
721.8633877209792,725.2241839590977,664.0155047029962,667.8412042859425,680.5921551027916,2.3910232984912843e-13,4.454471426392126e-14,0.8711481129661064,0.12863284972137426,0.0002190373122357186,IM
678.1627676382532,682.1627671575764,631.6755095237868,651.2107878534332,648.7408136606987,8.040994668330346e-11,1.0882305524861476e-11,0.9997458571037392,5.726085422680157e-05,0.00019688195074188595,IM
670.5847884665334,674.5844953083908,615.8952379232659,619.5239303642383,624.5875132805911,1.1322548011721903e-12,1.5325648675983846e-13,0.8504116093033668,0.1385698122263361,0.011018578469011485,IM
692.1728786030087,696.1728271597616,638.3878822710019,645.4218147270096,641.3785766591792,1.6691191848739352e-12,2.2589652799130806e-13,0.797537122476948,0.02367837428448479,0.17878450323667228,IM
695.6928489081829,699.6916239678408,640.6692416751563,647.1222088715027,646.7207354690166,1.0352838350484822e-12,1.4019627079070184e-13,0.918933175593351,0.036478746644269484,0.04458807776120396,IM
710.0673403615386,714.0670736461566,668.2242770046695,670.0466120377089,682.384438223349,5.846132907590733e-10,7.912935709352404e-11,0.7128110859379415,0.286588936531995,0.00059997686632072,IM
818.2740880355323,822.0039841415643,740.386959580112,748.3989799482778,757.6078895201347,1.1998076973530535e-17,1.8585531928326137e-18,0.9819439384203944,0.017877162020415362,0.0001788995591902318,IM
633.2146553298927,637.214628021097,597.863928441381,607.534147624515,607.2296429778798,2.0714837485469348e-08,2.8034866779574726e-09,0.9830924027886494,0.007811472801145125,0.009096100891881344,IM
700.4330682464529,704.4328233173353,637.2410071274547,641.3947790960934,675.639348907983,1.6855525436615703e-14,2.2814266858715744e-15,0.8886362335817478,0.11136376233851603,4.07971704135616e-09,IM
688.4256154467805,692.4145196879558,638.8520277062801,642.8946968726833,672.5578527992132,1.5177568349155232e-11,2.065487860867088e-12,0.8830188999635934,0.11698105767017151,4.234899187180952e-08,IM
722.4908170028405,638.9936207153899,673.7720448826235,671.611381988745,672.9023849435757,7.392888089842522e-19,0.9999998459855057,2.8051822393263168e-08,8.26310110289556e-08,4.333166100450174e-08,SI2N
701.3502405221644,705.037229340684,647.2382839943175,651.4313754828752,655.2495875157522,1.5574605669429983e-12,2.4648903824673653e-13,0.8763530897019787,0.10768640391852334,0.015960506377693997,IM
632.368116219008,595.1720329763166,585.85181725458,610.3862939102256,602.0037532084195,7.85030982165127e-11,0.009373756060146805,0.990313675618629,4.657778828042352e-06,0.00030791046389306675,IM
