,genome,model,dfe,percent,T,lhood_mig,nu1_mig,nu2_mig,tau_mig,m12_mig,m21_mig,theta0_mig,lhood_nomig,nu1_nomig,nu2_nomig,tau_nomig,theta0_nomig,LRT_stat,p_value
0,drosophila,nomig,linkedp1,10,20000,-143.23529583756928,1.8922845602169345,1.8971517385905363,16.0,0.0,0.0,372.9633522986156,-143.30096587175052,1.888889573224052,1.8937452173459397,16.0,372.7833345977086,0.13134006836247636,0.9364398064460955
1,drosophila,nomig,linkedp1,10,20000,-140.01658765840995,1.7322735301310377,1.7145560917682,14.635488214218222,0.0,0.0,407.1543605865841,-139.935640661283,1.8779987183220064,1.8586998206557928,15.979592559293586,374.7344983389034,-0.16189399425388729,1.0
2,drosophila,nomig,linkedp1,10,20000,-150.2569441458914,1.717158088469559,1.7871336237907895,14.878951127416418,0.0,0.0,400.754243990982,-150.28311796889787,1.7391767028094274,1.8098915776879427,15.10976362369756,394.81418738432143,0.05234764601294728,0.9741657424728013
3,drosophila,nomig,linkedp1,10,20000,-144.1804308658752,1.2491750250090092,1.2511162055303684,10.526675909247157,0.0,0.0,555.5223772554061,-143.92631431760498,1.8397975522965184,1.8426588202699603,16.0,376.433167297288,-0.5082330965404367,1.0
4,drosophila,nomig,linkedp1,10,20000,-148.23288428901918,1.481098250437314,1.4884075677120352,12.245923708501266,0.0,0.0,477.665206252917,-148.0935425150467,1.899158932301184,1.905128354243436,16.0,372.0038018314812,-0.2786835479449792,1.0
5,drosophila,nomig,linkedp1,10,20000,-146.7652440199713,0.6459327362361991,0.6405206219707003,4.885538820459597,0.0,0.0,1084.9131545332914,-146.7876392504228,0.6396438553864279,0.6342817090745424,4.8393947244546585,1093.0109174369502,0.04479046090301608,0.9778536811154026
6,drosophila,nomig,linkedp1,10,20000,-140.87959437006216,1.6356626316813412,1.6893533678974433,14.333732727891972,0.0,0.0,417.6482994573472,-140.75573531455865,1.810251952385004,1.869668578563296,16.0,376.5265560714927,-0.2477181110070319,1.0
7,drosophila,nomig,linkedp1,10,20000,-154.3564596147186,1.3025406227028984,1.278274436927266,10.574187195733233,0.0,0.0,547.7341396698454,-154.0732979723686,1.910355741320631,1.8749646056326048,16.0,372.6864981247076,-0.5663232846999904,1.0
8,drosophila,nomig,linkedp1,10,20000,-149.07943155138844,1.8522404889857904,1.9273296741083108,16.0,0.0,0.0,373.318995073125,-149.18962295144925,1.544274971078795,1.602368586735026,13.178345300990362,447.3936294712106,0.2203828001216266,0.8956626889964934
9,drosophila,nomig,linkedp1,10,20000,-150.1224337020882,1.850029658775544,1.89058629477976,15.999999999999998,0.0,0.0,374.7292760928696,-150.09872046282737,1.846721623222647,1.8871595472146263,16.0,374.5506936375773,-0.04742647852162918,1.0
10,drosophila,nomig,linkedp1,10,20000,-153.7665299047397,1.862559068912244,1.8330055951636843,16.0,0.0,0.0,376.37386224322216,-153.69874080338587,1.8588527449924457,1.829319610952516,16.0,376.2229982377256,-0.13557820270767706,1.0
11,drosophila,nomig,linkedp1,10,20000,-158.9508330307521,1.8653239370616213,1.8377415585019747,16.0,0.0,0.0,376.0990325386469,-159.0558676463486,1.693098895109096,1.668314899800463,14.462364507791992,413.3322442398404,0.21006923119296061,0.9002933578552864
12,drosophila,nomig,linkedp1,10,20000,-143.07754715731738,1.865328534531024,1.857811830005548,16.0,0.0,0.0,375.36548915892575,-143.05126793181716,1.8619946745357616,1.854447089929572,16.0,375.1869357962144,-0.052558451000436435,1.0
13,drosophila,nomig,linkedp1,10,20000,-148.16518354124509,1.936577866890168,1.949485961217912,16.0,0.0,0.0,369.5171233093147,-147.95153273601616,1.933125559202025,1.9459978416213255,15.999999999999998,369.3346565698561,-0.427301610457846,1.0
14,drosophila,nomig,linkedp1,10,20000,-145.23936329509493,1.9211802122356887,1.8326132953585532,16.0,0.0,0.0,374.2511273940999,-145.2824193027608,1.7539579485418697,1.6729412227168652,14.547981112410785,409.0102990526997,0.08611201533170743,0.9578577411883666
15,drosophila,nomig,linkedp1,10,20000,-146.47312984471574,1.910745762471069,1.918338757062214,16.0,0.0,0.0,371.54149133825496,-146.4394161028926,1.9073490616108204,1.9148893120627,16.0,371.3600125584295,-0.06742748364627005,1.0
16,drosophila,nomig,linkedp1,10,20000,-147.7765633359511,1.8528403896331709,1.8872048405539648,15.920799943456766,0.0,0.0,375.86587752136666,-147.68902001125656,1.45810245596017,1.485560050576361,12.346851358955549,476.34930443685965,-0.1750866493890726,1.0
17,drosophila,nomig,linkedp1,10,20000,-150.6830370666326,0.6698971545324262,0.6882460012416333,4.975212706137946,0.0,0.0,1053.4376423816127,-150.5456539971686,0.743040542793831,0.7635022115194028,5.635381791117929,947.9434074251468,-0.27476613892798696,1.0
18,drosophila,nomig,linkedp1,10,20000,-146.03942405027425,1.822985374231611,1.912535567313244,15.99893250978108,0.0,0.0,374.929625976318,-145.92859493894392,1.8201311366821653,1.9092066110338897,16.0,374.7163776184747,-0.2216582226606647,1.0
19,drosophila,nomig,linkedp1,10,20000,-155.46368330232207,0.6196300658364923,0.6236380269228827,4.645850253205485,0.0,0.0,1127.916119011011,-155.33953024999585,0.6579774663796479,0.6621547977366341,5.002874450137366,1060.1618322448758,-0.24830610465244263,1.0
20,drosophila,nomig,linkedp1,10,20000,-152.31642900163106,0.5235450968249479,0.5142302120732798,3.705837633430559,2.716797320229234e-06,0.0,1352.4095122145352,-151.76773547506457,0.6815841453253706,0.6692426984467488,5.122827303851495,1038.1862329688136,-1.0973870531329908,1.0
21,drosophila,nomig,linkedp1,10,20000,-153.18100303650925,0.7558991328512844,0.7719627497342337,5.687574259580527,0.0,0.0,939.4627661494216,-153.1527270374956,0.749061856511408,0.7649620793836767,5.639054161736375,945.871109620518,-0.056551998027316586,1.0
22,drosophila,nomig,linkedp1,10,20000,-147.80029489644778,1.8579446166401816,1.8147097853901903,15.757647488916362,0.0,0.0,380.69685115883925,-147.64457289562264,1.8812831658632327,1.8378040301205252,16.0,375.0903140214902,-0.31144400165027264,1.0
23,drosophila,nomig,linkedp1,10,20000,-156.40069679299296,0.5157281907834779,0.5445749735931705,3.8492953301701753,7.046851523681884e-05,0.0,1316.5679303064564,-156.71952864547066,0.6288098998746464,0.662809992024425,4.900412650526294,1080.3785626288422,0.6376637049554006,0.7269977819052407
