,MIG12$,MIG21$,TDIV$,NANC$,V1$,V2$,MaxEstLhood,MaxObsLhood,time,genome,model,dfe,percent,replicate
0,4.42805e-10,7.57809e-11,2078725,122609,1.9103467,1.9011465,-27287.912,-27275.582,20000,scaled,nomig,neutral,NA,39
0,5.91049e-11,4.32057e-11,2062314,100966,2.410872,2.3432317,-27356.346,-27347.992,20000,scaled,nomig,neutral,NA,40
0,3.72062e-10,2.42528e-10,1921325,207063,1.1526135,1.1382235,-27287.13,-27276.589,20000,scaled,nomig,neutral,NA,41
0,1.40493e-10,1.85039e-11,2117009,66467,3.6640684,3.615924,-27444.709,-27437.707,20000,scaled,nomig,neutral,NA,42
0,7.54153e-11,3.08501e-11,2064831,90899,2.7150408,2.6867814,-27420.215,-27411.24,20000,scaled,nomig,neutral,NA,43
0,2.36203e-10,8.11575e-11,1904776,198862,1.222023,1.2295205,-27457.407,-27450.793,20000,scaled,nomig,neutral,NA,44
0,1.45399e-10,1.60141e-10,2107590,69210,3.4301615,3.4645366,-27423.885,-27416.346,20000,scaled,nomig,neutral,NA,45
0,1.00698e-10,2.65158e-10,2026568,83040,2.9468984,2.8616453,-27430.998,-27424.172,20000,scaled,nomig,neutral,NA,46
0,1.34563e-10,2.32427e-11,1676785,468808,0.5239231,0.4915934,-27413.072,-27404.566,20000,scaled,nomig,neutral,NA,47
0,1.34254e-10,8.74535e-11,2088096,67126,3.7489314,3.4442391,-27423.07,-27411.904,20000,scaled,nomig,neutral,NA,48
0,1.31067e-10,3.15883e-11,2128362,69640,3.5786406,3.2950644,-27321.675,-27315.177,20000,scaled,nomig,neutral,NA,49
0,1.46526e-10,2.11484e-11,2053465,113414,2.0941693,2.17622,-27487.756,-27477.611,20000,scaled,nomig,neutral,NA,50
0,2.02461e-11,9.35453e-12,2027890,128277,1.9436377,1.9291998,-27543.664,-27535.99,20000,scaled,nomig,neutral,NA,51
0,1.5472e-10,1.03546e-11,1774103,373123,0.6310569,0.6394436,-27367.032,-27356.27,20000,scaled,nomig,neutral,NA,52
0,1.35893e-10,3.65168e-11,1845105,239894,0.9686413,1.0018524,-27455.12,-27447.105,20000,scaled,nomig,neutral,NA,53
0,8.20527e-10,8.13819e-11,1684326,443361,0.5503947,0.5323785,-27446.933,-27438.196,20000,scaled,nomig,neutral,NA,54
0,2.80365e-10,6.67333e-12,1589989,567310,0.4193613,0.4336398,-27491.611,-27483.07,20000,scaled,nomig,neutral,NA,55
0,4.92022e-11,3.57162e-11,2100191,66645,3.5820705,3.5507038,-27340.599,-27334.541,20000,scaled,nomig,neutral,NA,56
0,2.16613e-10,5.64382e-12,1695845,458721,0.5309073,0.5212464,-27399.171,-27387.762,20000,scaled,nomig,neutral,NA,57
0,2.72958e-10,5.23236e-11,2106814,78389,3.097412,3.0594013,-27350.724,-27340.86,20000,scaled,nomig,neutral,NA,58
0,1.07204e-10,5.57529e-11,2070371,71325,3.3975273,3.4530553,-27373.636,-27358.369,20000,scaled,nomig,neutral,NA,59
0,1.02029e-10,4.70192e-11,2125291,65835,3.669542,3.6291001,-27389.394,-27382.274,20000,scaled,nomig,neutral,NA,60
0,4.78456e-10,3.39943e-11,1959240,138712,1.7465842,1.7323973,-27477.635,-27471.919,20000,scaled,nomig,neutral,NA,61
0,6.97117e-11,7.19877e-11,2126066,69311,3.2897746,3.4255087,-27311.778,-27301.949,20000,scaled,nomig,neutral,NA,62
0,1.24199e-10,2.64135e-10,2057204,66526,3.5859565,3.5851224,-27411.173,-27400.734,20000,scaled,nomig,neutral,NA,63
0,1.7924e-10,3.01046e-11,2076310,72950,3.3385945,3.2839857,-27422.981,-27411.161,20000,scaled,nomig,neutral,NA,64
0,2.0388e-11,1.54551e-10,2090942,66039,3.678641,3.6363152,-27352.726,-27345.897,20000,scaled,nomig,neutral,NA,65
0,1.15296e-10,8.06932e-11,2080691,77589,3.0123811,3.1393881,-27311.779,-27303.015,20000,scaled,nomig,neutral,NA,66
0,3.61462e-10,2.37674e-11,1540358,606564,0.3969258,0.4009271,-27503.942,-27494.584,20000,scaled,nomig,neutral,NA,67
0,9.96165e-11,2.15528e-10,2088027,67642,3.5693177,3.587294,-27462.709,-27451.704,20000,scaled,nomig,neutral,NA,68
0,1.91048e-10,1.17587e-10,2068030,66599,3.4986267,3.5974613,-27346.113,-27336.957,20000,scaled,nomig,neutral,NA,69
0,9.27487e-11,1.87983e-10,1994431,64854,3.690823,3.7105598,-27401.058,-27390.923,20000,scaled,nomig,neutral,NA,70
0,2.75216e-10,2.26769e-11,1615011,523157,0.4549403,0.4557791,-27326.702,-27316.606,20000,scaled,nomig,neutral,NA,71
0,3.09155e-10,1.94279e-10,1924709,136019,1.8350056,1.7219952,-27461.761,-27452.549,20000,scaled,nomig,neutral,NA,72
0,1.92925e-10,4.46092e-10,2001609,66874,3.5780906,3.4941357,-27423.63,-27416.688,20000,scaled,nomig,neutral,NA,73
0,3.10138e-10,1.04031e-10,1989514,103806,2.3946592,2.3544739,-27580.055,-27571.065,20000,scaled,nomig,neutral,NA,74
0,4.92363e-10,6.18683e-10,1902539,145993,1.6877153,1.6834383,-27554.555,-27540.424,20000,scaled,nomig,neutral,NA,75
0,5.03839e-10,5.79945e-11,1789364,233439,1.0376305,1.055706,-27491.197,-27478.788,20000,scaled,nomig,neutral,NA,76
0,1.69857e-10,3.40314e-10,1990511,65685,3.6084251,3.6773928,-27429.164,-27420.583,20000,scaled,nomig,neutral,NA,77
0,3.08541e-10,7.30404e-11,1995333,142439,1.7030853,1.6786425,-27415.807,-27404.714,20000,scaled,nomig,neutral,NA,78
0,7.48398e-11,6.15467e-11,2092283,70875,3.3321514,3.3658187,-27413.522,-27401.591,20000,scaled,nomig,neutral,NA,79
0,2.2579e-10,4.04973e-10,1998399,103612,2.2448258,2.3561054,-27363.809,-27356.164,20000,scaled,nomig,neutral,NA,80
0,2.03558e-10,8.76673e-11,2087787,67137,3.6143541,3.5133702,-27367.493,-27360.828,20000,scaled,nomig,neutral,NA,81
0,6.01687e-11,1.78465e-12,2039546,97857,2.5057127,2.4125067,-27489.742,-27484.031,20000,scaled,nomig,neutral,NA,82
0,2.63728e-10,6.96165e-11,2027511,70362,3.5407467,3.3320637,-27463.991,-27455.874,20000,scaled,nomig,neutral,NA,83
0,9.00252e-11,3.09362e-10,1892882,86554,2.7669403,2.8685388,-27517.992,-27511.357,20000,scaled,nomig,neutral,NA,84
0,2.74759e-10,4.62881e-10,1896903,111452,2.1434653,2.1376841,-27329.989,-27321.325,20000,scaled,nomig,neutral,NA,85
0,2.49661e-10,4.99454e-10,1877673,122941,1.9571112,1.9886099,-27442.638,-27435.595,20000,scaled,nomig,neutral,NA,86
0,5.33017e-11,1.41127e-11,2027879,132249,1.8598422,1.8399268,-27479.956,-27472.256,20000,scaled,nomig,neutral,NA,87
0,2.04368e-10,2.69745e-11,1999126,72851,3.4334447,3.275062,-27530.158,-27519.925,20000,scaled,nomig,neutral,NA,88
0,3.36678e-10,3.49456e-11,2073766,80257,3.003121,2.9980565,-27430.712,-27417.927,20000,scaled,nomig,neutral,NA,89
0,2.33525e-10,4.46206e-10,1899922,146033,1.6886304,1.6750712,-27464.816,-27456.73,20000,scaled,nomig,neutral,NA,90
0,3.01282e-10,1.78572e-11,2069818,78084,3.0857977,2.9938731,-27301.325,-27289.322,20000,scaled,nomig,neutral,NA,91
0,1.92423e-10,3.77853e-11,2060565,83949,2.9492525,2.7967061,-27474.413,-27468.594,20000,scaled,nomig,neutral,NA,92
0,1.72232e-10,2.64973e-10,2023666,64590,3.6434208,3.803673,-27480.402,-27470.568,20000,scaled,nomig,neutral,NA,93
0,6.65296e-10,1.46846e-10,1799328,257069,0.9866471,0.9348277,-27582.255,-27570.502,20000,scaled,nomig,neutral,NA,94
0,7.57444e-10,1.35747e-10,1671082,470014,0.5136648,0.4955985,-27342.359,-27328.476,20000,scaled,nomig,neutral,NA,95
0,2.73822e-10,2.43148e-11,2086318,65540,3.7158936,3.6025443,-27373.544,-27365.059,20000,scaled,nomig,neutral,NA,96
0,9.4871e-10,8.66668e-11,1611318,504356,0.4744608,0.4821829,-27472.93,-27460.772,20000,scaled,nomig,neutral,NA,97
0,4.15019e-10,1.78079e-10,2108858,68082,3.4839784,3.4633958,-27355.287,-27343.246,20000,scaled,nomig,neutral,NA,98
0,1.84183e-10,3.53144e-11,1917418,240747,1.0104735,0.9867555,-27543.747,-27531.136,20000,scaled,nomig,neutral,NA,99
0,8.73166e-11,1.95906e-11,2102890,65460,3.659689,3.658225,-27406.465,-27398.913,20000,scaled,nomig,linkedancestor,5percent,0
0,5.00789e-10,3.49387e-10,2057421,66311,3.6441073,3.6050763,-27388.102,-27375.568,20000,scaled,nomig,linkedancestor,5percent,1
0,5.67459e-10,9.11253e-11,1646682,440312,0.5424462,0.5403282,-27403.894,-27395.281,20000,scaled,nomig,linkedancestor,5percent,2
0,3.27983e-11,5.09785e-10,2041524,52254,4.4498597,4.5183464,-27340.566,-27330.381,20000,scaled,nomig,linkedancestor,5percent,3
0,2.02813e-10,8.43389e-11,2072257,91785,2.6270397,2.6116091,-27475.134,-27466.254,20000,scaled,nomig,linkedancestor,5percent,4
0,5.95738e-10,5.74838e-10,1914155,119267,2.0536133,2.019719,-27499.355,-27489.533,20000,scaled,nomig,linkedancestor,5percent,5
